date,name_zh,name,kind
2016-01-11,成人之日,Coming of Age Day (2000 onwards),holiday
2016-02-11,建國紀念之日,National Foundation Day,holiday
2016-03-21,春分之日,,holiday
2016-04-29,昭和之日,Showa Day,holiday
2016-05-03,憲法紀念日,Constitution Memorial Day,holiday
2016-05-04,綠之日,Greenery Day,holiday
2016-05-05,兒童節（こどもの日）,Children's Day,holiday
2016-07-18,海之日,Marine Day (2003 - 2019),holiday
2016-08-11,山之日,Mountain Day (through 2019),holiday
2016-09-19,敬老之日,Respect for the Aged Day (2003 onwards),holiday
2016-09-22,秋分之日,,holiday
2016-10-10,體育之日,Health and Sports Day (2000 - 2019),holiday
2016-11-03,文化之日,Culture Day,holiday
2016-11-23,勤勞感謝之日,Labor Thanksgiving Day,holiday
2016-12-23,補假,Emperor Akihito's Birthday,holiday
2017-01-02,新年假期,New Year's Holiday (Jan 2),holiday
2017-01-03,新年假期,New Year's Holiday (Jan 3),holiday
2017-01-09,成人之日,Coming of Age Day (2000 onwards),holiday
2017-03-20,春分之日,,holiday
2017-05-03,憲法紀念日,Constitution Memorial Day,holiday
2017-05-04,綠之日,Greenery Day,holiday
2017-05-05,兒童節（こどもの日）,Children's Day,holiday
2017-07-17,海之日,Marine Day (2003 - 2019),holiday
2017-08-11,山之日,Mountain Day (through 2019),holiday
2017-09-18,敬老之日,Respect for the Aged Day (2003 onwards),holiday
2017-10-09,體育之日,Health and Sports Day (2000 - 2019),holiday
2017-11-03,文化之日,Culture Day,holiday
2017-11-23,勤勞感謝之日,Labor Thanksgiving Day,holiday
2018-01-01,元旦,New Year's Day,holiday
2018-01-02,新年假期,New Year's Holiday (Jan 2),holiday
2018-01-03,新年假期,New Year's Holiday (Jan 3),holiday
2018-01-08,成人之日,Coming of Age Day (2000 onwards),holiday
2018-02-12,建國紀念之日,National Foundation Day,holiday
2018-03-21,春分之日,,holiday
2018-04-30,昭和之日,Showa Day,holiday
2018-05-03,憲法紀念日,Constitution Memorial Day,holiday
2018-05-04,綠之日,Greenery Day,holiday
2018-07-16,海之日,Marine Day (2003 - 2019),holiday
2018-09-17,敬老之日,Respect for the Aged Day (2003 onwards),holiday
2018-09-24,秋分之日,,holiday
2018-10-08,體育之日,Health and Sports Day (2000 - 2019),holiday
2018-11-23,勤勞感謝之日,Labor Thanksgiving Day,holiday
2018-12-24,補假,Emperor Akihito's Birthday,holiday
2018-12-31,新年假期,New Year's Holiday (Dec 31),holiday
2019-01-01,元旦,New Year's Day,holiday
2019-01-02,新年假期,New Year's Holiday (Jan 2),holiday
2019-01-03,新年假期,New Year's Holiday (Jan 3),holiday
2019-01-14,成人之日,Coming of Age Day (2000 onwards),holiday
2019-02-11,建國紀念之日,National Foundation Day,holiday
2019-03-21,春分之日,,holiday
2019-04-29,昭和之日,Showa Day,holiday
2019-04-30,補假,,holiday
2019-05-01,補假,,holiday
2019-05-02,補假,,holiday
2019-05-03,憲法紀念日,Constitution Memorial Day,holiday
2019-05-06,兒童節（こどもの日）,Children's Day,holiday
2019-07-15,海之日,Marine Day (2003 - 2019),holiday
2019-08-12,山之日,Mountain Day (through 2019),holiday
2019-09-16,敬老之日,Respect for the Aged Day (2003 onwards),holiday
2019-09-23,秋分之日,,holiday
2019-10-14,體育之日,Health and Sports Day (2000 - 2019),holiday
2019-10-22,補假,,holiday
2019-11-04,文化之日,Culture Day,holiday
2019-12-31,新年假期,New Year's Holiday (Dec 31),holiday
2020-01-01,元旦,New Year's Day,holiday
2020-01-02,新年假期,New Year's Holiday (Jan 2),holiday
2020-01-03,新年假期,New Year's Holiday (Jan 3),holiday
2020-01-13,成人之日,Coming of Age Day (2000 onwards),holiday
2020-02-11,建國紀念之日,National Foundation Day,holiday
2020-02-24,天皇誕生日,Emperor Naruhito's Birthday,holiday
2020-03-20,春分之日,,holiday
2020-04-29,昭和之日,Showa Day,holiday
2020-05-04,綠之日,Greenery Day,holiday
2020-05-05,兒童節（こどもの日）,Children's Day,holiday
2020-05-06,憲法紀念日,Constitution Memorial Day,holiday
2020-07-23,海之日,Marine Day (2020),holiday
2020-07-24,體育之日,Health and Sports Day (2020),holiday
2020-08-10,山之日,Mountain Day (2020),holiday
2020-09-21,敬老之日,Respect for the Aged Day (2003 onwards),holiday
2020-09-22,秋分之日,,holiday
2020-10-01,補假,,holiday
2020-11-03,文化之日,Culture Day,holiday
2020-11-23,勤勞感謝之日,Labor Thanksgiving Day,holiday
2020-12-31,新年假期,New Year's Holiday (Dec 31),holiday
2021-01-01,元旦,New Year's Day,holiday
2021-01-11,成人之日,Coming of Age Day (2000 onwards),holiday
2021-02-11,建國紀念之日,National Foundation Day,holiday
2021-02-23,天皇誕生日,Emperor Naruhito's Birthday,holiday
2021-04-29,昭和之日,Showa Day,holiday
2021-05-03,憲法紀念日,Constitution Memorial Day,holiday
2021-05-04,綠之日,Greenery Day,holiday
2021-05-05,兒童節（こどもの日）,Children's Day,holiday
2021-07-22,海之日,Marine Day (2021),holiday
2021-07-23,體育之日,Health and Sports Day (2021),holiday
2021-08-09,山之日,Mountain Day (2021),holiday
2021-09-20,敬老之日,Respect for the Aged Day (2003 onwards),holiday
2021-09-23,秋分之日,,holiday
2021-11-03,文化之日,Culture Day,holiday
2021-11-23,勤勞感謝之日,Labor Thanksgiving Day,holiday
2021-12-31,新年假期,New Year's Holiday (Dec 31),holiday
2022-01-03,新年假期,New Year's Holiday (Jan 3),holiday
2022-01-10,成人之日,Coming of Age Day (2000 onwards),holiday
2022-02-11,建國紀念之日,National Foundation Day,holiday
2022-02-23,天皇誕生日,Emperor Naruhito's Birthday,holiday
2022-03-21,春分之日,,holiday
2022-04-29,昭和之日,Showa Day,holiday
2022-05-03,憲法紀念日,Constitution Memorial Day,holiday
2022-05-04,綠之日,Greenery Day,holiday
2022-05-05,兒童節（こどもの日）,Children's Day,holiday
2022-07-18,海之日,Marine Day (2022 onwards),holiday
2022-08-11,山之日,Mountain Day (2022 onwards),holiday
2022-09-19,敬老之日,Respect for the Aged Day (2003 onwards),holiday
2022-09-23,秋分之日,,holiday
2022-10-10,體育之日,Health and Sports Day (2022 onwards),holiday
2022-11-03,文化之日,Culture Day,holiday
2022-11-23,勤勞感謝之日,Labor Thanksgiving Day,holiday
2023-01-02,新年假期,New Year's Holiday (Jan 2),holiday
2023-01-03,新年假期,New Year's Holiday (Jan 3),holiday
2023-01-09,成人之日,Coming of Age Day (2000 onwards),holiday
2023-02-23,天皇誕生日,Emperor Naruhito's Birthday,holiday
2023-03-21,春分之日,,holiday
2023-05-03,憲法紀念日,Constitution Memorial Day,holiday
2023-05-04,綠之日,Greenery Day,holiday
2023-05-05,兒童節（こどもの日）,Children's Day,holiday
2023-07-17,海之日,Marine Day (2022 onwards),holiday
2023-08-11,山之日,Mountain Day (2022 onwards),holiday
2023-09-18,敬老之日,Respect for the Aged Day (2003 onwards),holiday
2023-10-09,體育之日,Health and Sports Day (2022 onwards),holiday
2023-11-03,文化之日,Culture Day,holiday
2023-11-23,勤勞感謝之日,Labor Thanksgiving Day,holiday
2024-01-01,元旦,New Year's Day,holiday
2024-01-02,新年假期,New Year's Holiday (Jan 2),holiday
2024-01-03,新年假期,New Year's Holiday (Jan 3),holiday
2024-01-08,成人之日,Coming of Age Day (2000 onwards),holiday
2024-02-12,建國紀念之日,National Foundation Day,holiday
2024-02-23,天皇誕生日,Emperor Naruhito's Birthday,holiday
2024-03-20,春分之日,,holiday
2024-04-29,昭和之日,Showa Day,holiday
2024-05-03,憲法紀念日,Constitution Memorial Day,holiday
2024-05-06,兒童節（こどもの日）,Children's Day,holiday
2024-07-15,海之日,Marine Day (2022 onwards),holiday
2024-08-12,山之日,Mountain Day (2022 onwards),holiday
2024-09-16,敬老之日,Respect for the Aged Day (2003 onwards),holiday
2024-09-23,秋分之日,,holiday
2024-10-14,體育之日,Health and Sports Day (2022 onwards),holiday
2024-11-04,文化之日,Culture Day,holiday
2024-12-31,新年假期,New Year's Holiday (Dec 31),holiday
2025-01-01,元旦,New Year's Day,holiday
2025-01-02,新年假期,New Year's Holiday (Jan 2),holiday
2025-01-03,新年假期,New Year's Holiday (Jan 3),holiday
2025-01-13,成人之日,Coming of Age Day (2000 onwards),holiday
2025-02-11,建國紀念之日,National Foundation Day,holiday
2025-02-24,天皇誕生日,Emperor Naruhito's Birthday,holiday
2025-03-20,春分之日,,holiday
2025-04-29,昭和之日,Showa Day,holiday
2025-05-05,兒童節（こどもの日）,Children's Day,holiday
2025-05-06,綠之日,Greenery Day,holiday
2025-07-21,海之日,Marine Day (2022 onwards),holiday
2025-08-11,山之日,Mountain Day (2022 onwards),holiday
2025-09-15,敬老之日,Respect for the Aged Day (2003 onwards),holiday
2025-09-23,秋分之日,,holiday
2025-10-13,體育之日,Health and Sports Day (2022 onwards),holiday
2025-11-03,文化之日,Culture Day,holiday
2025-11-24,勤勞感謝之日,Labor Thanksgiving Day,holiday
2025-12-31,新年假期,New Year's Holiday (Dec 31),holiday
2026-01-01,元旦,New Year's Day,holiday
2026-01-02,新年假期,New Year's Holiday (Jan 2),holiday
2026-01-12,成人之日,Coming of Age Day (2000 onwards),holiday
2026-02-11,建國紀念之日,National Foundation Day,holiday
2026-02-23,天皇誕生日,Emperor Naruhito's Birthday,holiday
2026-03-20,春分之日,,holiday
2026-04-29,昭和之日,Showa Day,holiday
2026-05-04,綠之日,Greenery Day,holiday
2026-05-05,兒童節（こどもの日）,Children's Day,holiday
2026-05-06,憲法紀念日,Constitution Memorial Day,holiday
2026-07-20,海之日,Marine Day (2022 onwards),holiday
2026-08-11,山之日,Mountain Day (2022 onwards),holiday
2026-09-21,敬老之日,Respect for the Aged Day (2003 onwards),holiday
2026-09-22,國民休日,,holiday
2026-09-23,秋分之日,,holiday
2026-10-12,體育之日,Health and Sports Day (2022 onwards),holiday
2026-11-03,文化之日,Culture Day,holiday
2026-11-23,勤勞感謝之日,Labor Thanksgiving Day,holiday
2026-12-31,新年假期,New Year's Holiday (Dec 31),holiday
2027-01-01,元旦,New Year's Day,holiday
2027-01-11,成人之日,Coming of Age Day (2000 onwards),holiday
2027-02-11,建國紀念之日,National Foundation Day,holiday
2027-02-23,天皇誕生日,Emperor Naruhito's Birthday,holiday
2027-03-22,春分之日,,holiday
2027-04-29,昭和之日,Showa Day,holiday
2027-05-03,憲法紀念日,Constitution Memorial Day,holiday
2027-05-04,綠之日,Greenery Day,holiday
2027-05-05,兒童節（こどもの日）,Children's Day,holiday
2027-07-19,海之日,Marine Day (2022 onwards),holiday
2027-08-11,山之日,Mountain Day (2022 onwards),holiday
2027-09-20,敬老之日,Respect for the Aged Day (2003 onwards),holiday
2027-09-23,秋分之日,,holiday
2027-10-11,體育之日,Health and Sports Day (2022 onwards),holiday
2027-11-03,文化之日,Culture Day,holiday
2027-11-23,勤勞感謝之日,Labor Thanksgiving Day,holiday
2027-12-31,新年假期,New Year's Holiday (Dec 31),holiday
