ticker,issuer,trade_date,filing_date,entry_day,exit_day,ret_3m,ew_3m,excess_3m,value,n_insiders,accession
C,CITIGROUP INC,2008-10-17,2008-11-13,2008-11-14,2009-02-17,-0.6662,-0.0447,-0.6215,9070663,3,0001181431-08-061531
AMP,AMERIPRISE FINANCIAL INC,2008-11-04,2008-11-17,2008-11-18,2009-02-18,0.1289,-0.0162,0.1452,443830,3,0001179110-08-019586
NOV,NATIONAL OILWELL VARCO INC,2008-10-24,2008-11-19,2008-11-20,2009-02-20,0.1650,0.0362,0.1288,267380,3,0001337685-08-000061
BSX,BOSTON SCIENTIFIC CORP,2008-10-24,2008-11-19,2008-11-20,2009-02-20,0.2822,0.0362,0.2460,318826,3,0001225208-08-018140
GE,GENERAL ELECTRIC CO,2008-11-13,2008-11-21,2008-11-24,2009-02-24,-0.3582,0.0004,-0.3586,2033444,3,0001231205-08-000158
LNC,LINCOLN NATIONAL CORP,2008-11-20,2008-11-24,2008-11-25,2009-02-25,0.7679,-0.0336,0.8015,1306306,3,0000059558-08-000106
PFG,PRINCIPAL FINANCIAL GROUP INC,2008-11-21,2008-11-25,2008-11-26,2009-02-26,-0.1584,-0.0610,-0.0975,1278208,3,0001126328-08-000359
TEL,Tyco Electronics Ltd.,2008-11-12,2008-12-01,2008-12-02,2009-03-02,-0.3927,-0.0548,-0.3380,2054583,3,0001225208-08-018732
MBI,MBIA INC,2008-11-13,2008-12-03,2008-12-04,2009-03-04,-0.5887,-0.1787,-0.4100,611082,3,0000814585-08-000091
ADI,ANALOG DEVICES INC,2008-12-01,2008-12-05,2008-12-08,2009-03-09,0.0987,-0.2237,0.3225,208433,3,0001225208-08-019068
EQT,EQUITABLE RESOURCES INC /PA/,2009-01-02,2009-01-06,2009-01-07,2009-04-07,-0.0709,-0.0794,0.0085,48715,3,0001429898-09-000016
BAC,BANK OF AMERICA CORP /DE/,2008-11-04,2009-01-21,2009-01-22,2009-04-22,0.3270,0.1006,0.2264,3655506,3,0001225208-09-001677
RF,REGIONS FINANCIAL CORP,2009-01-22,2009-02-02,2009-02-03,2009-05-04,0.4461,0.1885,0.2577,411308,3,0001225208-09-002414
ZION,ZIONS BANCORPORATION /UT/,2009-01-29,2009-02-05,2009-02-06,2009-05-06,0.0441,0.2019,-0.1577,143540,3,0000109380-09-000023
WU,Western Union CO,2009-02-09,2009-02-09,2009-02-10,2009-05-11,0.3794,0.1963,0.1831,342190,3,0001361989-09-000006
USB,US BANCORP \DE\,2009-01-22,2009-02-17,2009-02-18,2009-05-18,0.6226,0.2551,0.3676,515700,3,0000036104-09-000031
AXP,AMERICAN EXPRESS CO,2009-01-28,2009-02-19,2009-02-20,2009-05-20,1.0380,0.3423,0.6957,1240160,3,0001127602-09-004141
WFC,WELLS FARGO & CO/MN,2009-01-29,2009-02-19,2009-02-20,2009-05-20,1.3411,0.3423,0.9988,838348,3,0001193833-09-000028
AVY,AVERY DENNISON CORPORATION,2009-01-29,2009-02-27,2009-03-02,2009-06-02,0.4682,0.4722,-0.0040,331100,3,0000008818-09-000020
GE,GENERAL ELECTRIC CO,2009-02-23,2009-03-02,2009-03-03,2009-06-03,0.7411,0.5626,0.1785,829000,3,0001231205-09-000030
C,CITIGROUP INC,2009-03-02,2009-03-04,2009-03-05,2009-06-05,2.3273,0.5265,1.8008,7720250,3,0001181431-09-013641
GL,TORCHMARK CORP,2009-02-27,2009-03-05,2009-03-06,2009-06-08,1.2354,0.6088,0.6266,90197,3,0001212131-09-000082
D,DOMINION RESOURCES INC /VA/,2009-03-02,2009-03-06,2009-03-09,2009-06-09,0.1582,0.6129,-0.4547,589841,3,0001225208-09-006432
MBI,MBIA INC,2009-03-05,2009-03-06,2009-03-09,2009-06-09,1.3295,0.6129,0.7167,194759,3,0000814585-09-000017
SLM,SLM CORP,2009-03-06,2009-03-09,2009-03-10,2009-06-10,1.1890,0.6309,0.5581,235421,3,0001032033-09-000016
NI,NISOURCE INC/DE,2009-02-09,2009-03-09,2009-03-10,2009-06-10,0.3588,0.6309,-0.2721,199370,3,0001127602-09-006375
HBAN,HUNTINGTON BANCSHARES INC/MD,2009-04-22,2009-04-24,2009-04-27,2009-07-27,0.2107,0.1623,0.0484,1140950,3,0001225208-09-010693
EQT,EQT Corp,2009-07-01,2009-07-06,2009-07-07,2009-10-07,0.2993,0.2434,0.0559,43428,3,0001429898-09-000051
RF,REGIONS FINANCIAL CORP,2009-07-23,2009-07-24,2009-07-27,2009-10-27,0.3637,0.1340,0.2296,107400,3,0001225208-09-016021
AKAM,AKAMAI TECHNOLOGIES INC,2009-07-31,2009-08-04,2009-08-05,2009-11-05,0.3111,0.0593,0.2518,3387476,3,0001035440-09-000012
C,CITIGROUP INC,2009-08-04,2009-08-10,2009-08-11,2009-11-11,0.0814,0.0956,-0.0141,6679657,3,0001181431-09-038672
EQT,EQT Corp,2009-10-01,2009-10-05,2009-10-06,2010-01-06,0.0594,0.1097,-0.0503,42004,3,0001429898-09-000059
HBAN,HUNTINGTON BANCSHARES INC/MD,2009-10-26,2009-10-29,2009-10-30,2010-02-01,0.2097,0.0378,0.1719,164000,3,0001225208-09-021120
ZION,ZIONS BANCORPORATION /UT/,2009-11-24,2009-12-01,2009-12-02,2010-03-02,0.4250,0.0498,0.3753,1914497,3,0000109380-09-000144
BBY,BEST BUY CO INC,2009-11-25,2009-12-18,2009-12-21,2010-03-22,0.0307,0.0852,-0.0545,95104,3,0001225208-09-024717
EQT,EQT Corp,2010-01-05,2010-01-07,2010-01-08,2010-04-08,-0.0233,0.0673,-0.0907,64826,3,0001127602-10-001093
HRL,HORMEL FOODS CORP /DE/,2009-12-17,2010-01-07,2010-01-08,2010-04-08,0.1076,0.0673,0.0402,276634,3,0001179110-10-000759
HBAN,HUNTINGTON BANCSHARES INC/MD,2010-01-26,2010-01-28,2010-01-29,2010-04-29,0.3589,0.1420,0.2169,805067,6,0001225208-10-002452
PRU,PRUDENTIAL FINANCIAL INC,2010-02-18,2010-02-22,2010-02-23,2010-05-24,0.0996,0.0130,0.0866,74185,3,0001225208-10-005165
CINF,CINCINNATI FINANCIAL CORP,2010-05-05,2010-05-11,2010-05-12,2010-08-12,-0.0284,-0.0547,0.0263,133170,3,0001127602-10-013639
CF,"CF Industries Holdings, Inc.",2010-05-12,2010-05-18,2010-05-19,2010-08-19,0.2573,-0.0136,0.2709,464779,3,0001104659-10-029362
ZION,ZIONS BANCORPORATION /UT/,2010-06-10,2010-06-14,2010-06-15,2010-09-15,-0.1255,0.0348,-0.1603,5200000,3,0000109380-10-000301
AKAM,AKAMAI TECHNOLOGIES INC,2010-08-04,2010-08-13,2010-08-16,2010-11-16,0.0759,0.1259,-0.0500,3561815,3,0001266432-10-000001
BAC,BANK OF AMERICA CORP /DE/,2010-07-22,2010-08-23,2010-08-24,2010-11-24,-0.1224,0.1234,-0.2458,603400,3,0001225208-10-019732
CME,CME GROUP INC.,2010-08-12,2010-09-03,2010-09-07,2010-12-07,0.2022,0.1225,0.0797,1998932,3,0001156375-10-000114
COR,CoreSite Realty Corp,2010-09-28,2010-10-12,2010-10-13,2011-01-13,0.0891,0.1188,-0.0297,581600,3,0001209191-10-050202
GWW,GRAINGER W W INC,2010-11-10,2010-11-19,2010-11-22,2011-02-22,0.0740,0.1510,-0.0770,200638,3,0001181431-10-056698
C,CITIGROUP INC,2010-11-04,2010-11-30,2010-12-01,2011-03-01,0.0981,0.1456,-0.0475,2456955,3,0001181431-10-058151
BAC,BANK OF AMERICA CORP /DE/,2010-11-09,2010-12-01,2010-12-02,2011-03-02,0.2252,0.1028,0.1224,926425,3,0001225208-10-025985
HBAN,HUNTINGTON BANCSHARES INC/MD,2010-12-17,2010-12-17,2010-12-20,2011-03-21,0.0610,0.0469,0.0141,283500,3,0001225208-10-027411
FAST,FASTENAL CO,2011-01-20,2011-02-16,2011-02-17,2011-05-17,0.0536,0.0158,0.0378,168868,3,0001179110-11-002836
OI,OWENS ILLINOIS INC /DE/,2011-04-12,2011-05-09,2011-05-10,2011-08-10,-0.4387,-0.1468,-0.2919,94787,3,0000812074-11-000033
HAS,HASBRO INC,2011-07-20,2011-07-25,2011-07-26,2011-10-26,-0.0921,-0.0882,-0.0039,552650,3,0000046080-11-000076
HBAN,HUNTINGTON BANCSHARES INC/MD,2011-07-25,2011-08-04,2011-08-05,2011-11-07,-0.0483,0.0609,-0.1092,487180,3,0001225208-11-019282
MS,MORGAN STANLEY,2011-08-02,2011-08-05,2011-08-08,2011-11-08,-0.1094,0.0667,-0.1761,2272200,3,0001209191-11-042600
D,DOMINION RESOURCES INC /VA/,2011-08-05,2011-08-08,2011-08-09,2011-11-09,0.1205,0.1659,-0.0454,293834,3,0001225208-11-019357
EMR,EMERSON ELECTRIC CO,2011-08-05,2011-08-09,2011-08-10,2011-11-10,0.1696,0.0629,0.1067,2043186,3,0000950138-11-000450
LUMN,"CENTURYLINK, INC",2011-08-04,2011-08-09,2011-08-10,2011-11-10,0.1265,0.0629,0.0636,695220,3,0001235110-11-000258
CINF,CINCINNATI FINANCIAL CORP,2011-07-29,2011-08-10,2011-08-11,2011-11-11,0.2196,0.1210,0.0986,542945,3,0001127602-11-023161
JPM,J P MORGAN CHASE & CO,2011-07-22,2011-08-11,2011-08-12,2011-11-14,-0.1048,0.0915,-0.1963,1588547,3,0001225208-11-019683
COR,CoreSite Realty Corp,2011-08-08,2011-08-11,2011-08-12,2011-11-14,0.0456,0.0915,-0.0459,220666,3,0001209191-11-043633
TFC,BB&T CORP,2011-07-25,2011-08-12,2011-08-15,2011-11-15,0.1081,0.0737,0.0344,174037,3,0001225208-11-019807
CLF,CLIFFS NATURAL RESOURCES INC.,2011-08-01,2011-08-12,2011-08-15,2011-11-15,-0.1081,0.0737,-0.1818,534835,3,0001209191-11-043919
ADM,ARCHER DANIELS MIDLAND CO,2011-08-17,2011-08-18,2011-08-19,2011-11-21,0.0560,0.0875,-0.0314,266515,3,0001225208-11-020263
FISV,FISERV INC,2011-08-08,2011-08-19,2011-08-22,2011-11-22,0.0634,0.0838,-0.0204,137388,3,0001181431-11-046249
RF,REGIONS FINANCIAL CORP,2011-08-01,2011-08-24,2011-08-25,2011-11-25,-0.1565,-0.0027,-0.1538,520370,3,0001225208-11-020476
HON,HONEYWELL INTERNATIONAL INC,2011-08-05,2011-08-26,2011-08-29,2011-11-29,0.1331,0.0270,0.1061,546446,3,0000950117-11-001005
MTB,M&T BANK CORP,2011-08-05,2011-08-29,2011-08-30,2011-11-30,-0.0536,-0.0060,-0.0476,284946,3,0001209191-11-045832
WHR,WHIRLPOOL CORP /DE/,2011-08-09,2011-08-30,2011-08-31,2011-11-30,-0.2305,-0.0096,-0.2208,438630,3,0001452606-11-000004
APH,AMPHENOL CORP /DE/,2011-08-04,2011-08-30,2011-08-31,2011-11-30,-0.0529,-0.0096,-0.0433,5125003,3,0001127602-11-024469
MDT,MEDTRONIC INC,2011-08-31,2011-09-02,2011-09-06,2011-12-06,0.0769,0.0873,-0.0104,562690,3,0001246360-11-003484
FAST,FASTENAL CO,2011-05-24,2011-09-06,2011-09-07,2011-12-07,0.2858,0.0959,0.1899,157774,3,0001179110-11-012977
BNY,Bank of New York Mellon CORP,2011-08-10,2011-09-07,2011-09-08,2011-12-08,-0.0342,0.0607,-0.0949,2531896,3,0001181431-11-048444
F,FORD MOTOR CO,2011-08-22,2011-09-07,2011-09-08,2011-12-08,0.0448,0.0607,-0.0159,654250,3,0001209191-11-046906
PHM,PULTEGROUP INC/MI/,2011-09-12,2011-09-13,2011-09-14,2011-12-14,0.3578,0.0481,0.3097,142148,3,0001127602-11-025152
HRB,H&R BLOCK INC,2011-09-06,2011-09-20,2011-09-21,2011-12-21,0.1067,0.0456,0.0611,341450,3,0001225208-11-022018
OI,OWENS ILLINOIS INC /DE/,2011-09-09,2011-10-05,2011-10-06,2012-01-06,0.3135,0.1418,0.1717,2069790,3,0000812074-11-000064
APA,APACHE CORP,2011-09-28,2011-10-17,2011-10-18,2012-01-18,0.0760,0.1091,-0.0332,1196920,3,0001357400-11-000247
SLB,SCHLUMBERGER LTD /NV/,2011-08-05,2011-11-10,2011-11-11,2012-02-13,0.0419,0.1065,-0.0646,1223475,3,0001246360-11-003988
AIG,AMERICAN INTERNATIONAL GROUP INC,2011-11-10,2011-11-21,2011-11-22,2012-02-22,0.3129,0.1639,0.1490,729625,3,0001225208-11-025166
BSX,BOSTON SCIENTIFIC CORP,2011-11-21,2011-12-01,2011-12-02,2012-03-02,0.0252,0.1202,-0.0950,771460,3,0001225208-11-025577
D,DOMINION RESOURCES INC /VA/,2012-01-31,2012-01-31,2012-02-01,2012-05-01,0.0536,0.0625,-0.0089,742350,3,0001225208-12-002565
KO,COCA COLA CO,2012-02-22,2012-03-01,2012-03-02,2012-06-04,0.0599,-0.0802,0.1401,526356,3,0001127602-12-008836
ZION,ZIONS BANCORPORATION /UT/,2012-02-08,2012-03-05,2012-03-06,2012-06-06,-0.0169,-0.0661,0.0492,745780,3,0000109380-12-000124
EQT,EQT Corp,2012-04-02,2012-04-04,2012-04-05,2012-07-05,0.1098,-0.0210,0.1308,51440,3,0001127602-12-013331
HBAN,HUNTINGTON BANCSHARES INC/MD,2012-04-20,2012-04-23,2012-04-24,2012-07-24,-0.0137,-0.0215,0.0078,169593,3,0001225208-12-010085
AIG,AMERICAN INTERNATIONAL GROUP INC,2012-05-08,2012-05-10,2012-05-11,2012-08-13,0.0272,0.0333,-0.0062,666419,3,0001225208-12-011851
FOSL,FOSSIL INC,2012-05-10,2012-05-14,2012-05-15,2012-08-15,0.1031,0.0448,0.0583,619000,3,0001127602-12-016743
AES,AES CORP,2012-05-09,2012-05-21,2012-05-22,2012-08-22,-0.0547,0.0836,-0.1384,652410,3,0001127602-12-017560
PBI,PITNEY BOWES INC /DE/,2012-05-21,2012-05-22,2012-05-23,2012-08-23,0.0293,0.0811,-0.0518,431727,3,0001225208-12-012977
GNW,GENWORTH FINANCIAL INC,2012-05-07,2012-05-22,2012-05-23,2012-08-23,0.0368,0.0811,-0.0442,573200,3,0001181431-12-031564
CLF,CLIFFS NATURAL RESOURCES INC.,2012-05-01,2012-05-22,2012-05-23,2012-08-23,-0.1612,0.0811,-0.2423,368614,3,0001209191-12-029798
FAST,FASTENAL CO,2012-04-20,2012-06-08,2012-06-11,2012-09-11,0.0392,0.0874,-0.0482,134699,3,0001179110-12-009834
