ticker,issuer,trade_date,filing_date,entry_day,exit_day,ret_3m,ew_3m,excess_3m,value,n_insiders,accession
PH,PARKER HANNIFIN CORP,2006-05-26,2006-05-31,2006-06-01,2006-09-01,-0.0489,0.0241,-0.0730,298201,1,0000076334-06-000050
GL,TORCHMARK CORP,2006-06-21,2006-06-22,2006-06-23,2006-09-25,0.0721,0.0578,0.0143,98480,1,0001212131-06-000099
YUM,YUM BRANDS INC,2006-08-04,2006-08-04,2006-08-07,2006-11-07,0.2668,0.0886,0.1781,142860,1,0001041061-06-000186
BNY,BANK OF NEW YORK CO INC,2006-08-04,2006-09-08,2006-09-11,2006-12-11,0.1649,0.1022,0.0627,300392,1,0000009626-06-000236
CAG,CONAGRA FOODS INC /DE/,2006-10-03,2006-10-04,2006-10-05,2007-01-05,0.1193,0.0592,0.0601,1836000,1,0000023217-06-000049
GE,GENERAL ELECTRIC CO,2006-10-18,2006-10-18,2006-10-19,2007-01-19,0.0572,0.0490,0.0082,537300,1,0001231205-06-000170
EFX,EQUIFAX INC,2006-10-27,2006-10-30,2006-10-31,2007-01-31,0.0622,0.0524,0.0098,75201,1,0000033185-06-000110
FISV,FISERV INC,2006-11-03,2006-11-06,2006-11-07,2007-02-07,0.0438,0.0760,-0.0322,48700,1,0001181431-06-061848
CAG,CONAGRA FOODS INC /DE/,2006-12-26,2006-12-27,2006-12-28,2007-03-28,-0.0931,0.0240,-0.1171,204150,1,0000023217-06-000055
GE,GENERAL ELECTRIC CO,2007-01-26,2007-01-26,2007-01-29,2007-04-30,0.0311,0.0698,-0.0388,727400,1,0001231205-07-000017
NYT,NEW YORK TIMES CO,2007-02-02,2007-02-05,2007-02-06,2007-05-07,0.0500,0.0455,0.0045,240633,1,0001182489-07-000141
C,CITIGROUP INC,2007-02-02,2007-02-06,2007-02-07,2007-05-07,-0.0078,0.0421,-0.0498,23782,1,0001181431-07-008869
CAG,CONAGRA FOODS INC /DE/,2007-03-26,2007-03-27,2007-03-28,2007-06-28,0.1096,0.0512,0.0584,100041,1,0000023217-07-000010
GE,GENERAL ELECTRIC CO,2007-04-16,2007-04-17,2007-04-18,2007-07-18,0.1550,0.0444,0.1107,710800,1,0001231205-07-000048
PH,PARKER HANNIFIN CORP,2007-04-27,2007-04-27,2007-04-30,2007-07-30,0.0696,-0.0415,0.1111,308890,1,0000076334-07-000025
FHN,FIRST HORIZON NATIONAL CORP,2007-05-02,2007-05-02,2007-05-03,2007-08-03,-0.1974,-0.0274,-0.1701,393900,1,0000036966-07-000053
CMCSA,COMCAST CORP,2007-06-08,2007-06-11,2007-06-12,2007-09-12,-0.0259,-0.0487,0.0228,998665,1,0001236186-07-000102
HBAN,HUNTINGTON BANCSHARES INC/MD,2007-07-24,2007-07-25,2007-07-26,2007-10-26,-0.0997,-0.0178,-0.0819,99800,1,0001225208-07-006914
GAP,GREAT ATLANTIC & PACIFIC TEA CO INC,2007-07-25,2007-07-26,2007-07-27,2007-10-29,0.0697,0.0190,0.0507,92550,1,0001206247-07-000002
GE,GENERAL ELECTRIC CO,2007-07-30,2007-07-30,2007-07-31,2007-10-31,0.0342,0.0227,0.0115,971984,1,0001231205-07-000087
BBY,BEST BUY CO INC,2007-08-01,2007-08-03,2007-08-06,2007-11-06,0.0736,0.0318,0.0418,495618,1,0001179110-07-015941
XRX,XEROX CORP,2007-08-03,2007-08-03,2007-08-06,2007-11-06,0.0071,0.0318,-0.0248,171841,1,0001181431-07-049733
FISV,FISERV INC,2007-08-08,2007-08-09,2007-08-10,2007-11-12,0.1021,-0.0079,0.1100,95371,1,0001181431-07-051074
SNA,SNAP ON INC,2007-08-10,2007-08-10,2007-08-13,2007-11-13,-0.0742,-0.0184,-0.0558,93174,1,0001245031-07-000137
HAS,HASBRO INC,2007-08-10,2007-08-14,2007-08-15,2007-11-15,-0.0163,0.0225,-0.0388,129214,1,0000046080-07-000090
TEL,Tyco Electronics Ltd.,2007-08-13,2007-08-14,2007-08-15,2007-11-15,-0.0028,0.0225,-0.0253,664186,1,0001225208-07-007559
LIN,PRAXAIR INC,2007-08-16,2007-08-17,2007-08-20,2007-11-20,0.0814,-0.0197,0.1011,140000,1,0000884905-07-000065
PSA,Public Storage,2007-08-16,2007-08-20,2007-08-21,2007-11-21,-0.0281,-0.0197,-0.0084,15000,1,0001201889-07-000015
THC,TENET HEALTHCARE CORP,2007-08-21,2007-08-22,2007-08-23,2007-11-23,0.0529,-0.0481,0.1010,184827,1,0000070318-07-000121
NWL,NEWELL RUBBERMAID INC,2007-08-23,2007-08-24,2007-08-27,2007-11-27,0.0263,-0.0617,0.0881,528001,1,0000814453-07-000143
FHN,FIRST HORIZON NATIONAL CORP,2007-08-29,2007-08-31,2007-09-04,2007-12-04,-0.2683,-0.0071,-0.2612,144982,1,0000036966-07-000067
SNA,SNAP ON INC,2007-09-14,2007-09-17,2007-09-18,2007-12-18,-0.0241,-0.0246,0.0006,93320,1,0001245031-07-000140
GE,GENERAL ELECTRIC CO,2007-10-22,2007-10-22,2007-10-23,2008-01-23,-0.1545,-0.1346,-0.0199,3326612,1,0001231205-07-000147
FHN,FIRST HORIZON NATIONAL CORP,2007-10-19,2007-10-23,2007-10-24,2008-01-24,-0.2170,-0.1145,-0.1026,122450,1,0000036966-07-000077
WHR,WHIRLPOOL CORP /DE/,2007-10-24,2007-10-25,2007-10-26,2008-01-28,-0.0845,-0.1122,0.0277,843300,1,0001224295-07-000004
MTG,MGIC INVESTMENT CORP,2007-10-26,2007-10-26,2007-10-29,2008-01-29,-0.1414,-0.1047,-0.0367,988500,1,0000876437-07-000084
MBI,MBIA INC,2007-11-01,2007-11-02,2007-11-05,2008-02-05,-0.5508,-0.0612,-0.4896,76124,1,0000814585-07-000096
GNW,GENWORTH FINANCIAL INC,2007-11-05,2007-11-06,2007-11-07,2008-02-07,-0.1032,-0.1000,-0.0032,248700,1,0001181431-07-066605
CMS,CMS ENERGY CORP,2007-11-07,2007-11-08,2007-11-09,2008-02-11,-0.0308,-0.0739,0.0431,33120,1,0001246360-07-003183
AXP,AMERICAN EXPRESS CO,2007-11-09,2007-11-13,2007-11-14,2008-02-14,-0.2071,-0.0590,-0.1481,1094967,1,0001127602-07-004502
AVY,AVERY DENNISON CORPORATION,2007-11-19,2007-11-20,2007-11-21,2008-02-21,0.0048,-0.0247,0.0294,68728,1,0000008818-07-000048
AN,AUTONATION INC /FL,2007-11-19,2007-11-21,2007-11-23,2008-02-25,-0.0387,-0.0162,-0.0226,24992,1,0000350698-07-000030
CAH,CARDINAL HEALTH INC,2007-11-26,2007-11-27,2007-11-28,2008-02-28,0.0510,-0.0004,0.0515,1149972,1,0000950145-07-000064
HST,"HOST HOTELS & RESORTS, INC.",2007-11-26,2007-11-27,2007-11-28,2008-02-28,-0.0488,-0.0004,-0.0484,105892,1,0001070750-07-000186
SBUX,STARBUCKS CORP,2007-12-03,2007-12-04,2007-12-05,2008-03-05,-0.2035,-0.0721,-0.1315,149462,1,0001209191-07-067733
GE,GENERAL ELECTRIC CO,2007-12-18,2007-12-18,2007-12-19,2008-03-19,0.0017,-0.0604,0.0621,1280521,1,0001231205-07-000153
MAR,MARRIOTT INTERNATIONAL INC /MD/,2007-12-14,2007-12-18,2007-12-19,2008-03-19,0.0147,-0.0604,0.0751,963900,1,0001048286-07-000326
JBL,JABIL CIRCUIT INC,2007-12-28,2007-12-28,2007-12-31,2008-03-31,-0.3868,-0.0790,-0.3078,298952,1,0001225208-07-011345
PH,PARKER HANNIFIN CORP,2008-01-22,2008-01-24,2008-01-25,2008-04-25,0.2526,0.0587,0.1939,998420,1,0000076334-08-000006
C,CITIGROUP INC,2008-01-24,2008-01-28,2008-01-29,2008-04-29,-0.0283,0.0612,-0.0895,4998160,1,0001181431-08-005781
IFF,INTERNATIONAL FLAVORS & FRAGRANCES INC,2008-01-31,2008-01-31,2008-02-01,2008-05-01,0.0796,0.0281,0.0515,201425,1,0001225208-08-001811
UIS,UNISYS CORP,2008-01-31,2008-02-04,2008-02-05,2008-05-05,-0.0282,0.0436,-0.0718,247911,1,0000746838-08-000031
NWL,NEWELL RUBBERMAID INC,2008-02-04,2008-02-05,2008-02-06,2008-05-06,-0.1005,0.0720,-0.1726,235000,1,0000814453-08-000010
MRSH,"MARSH & MCLENNAN COMPANIES, INC.",2008-02-14,2008-02-15,2008-02-19,2008-05-19,0.1065,0.0794,0.0271,856020,1,0000062709-08-000042
MTG,MGIC INVESTMENT CORP,2008-02-15,2008-02-19,2008-02-20,2008-05-20,-0.0462,0.0809,-0.1271,598854,1,0000876437-08-000029
FITB,FIFTH THIRD BANCORP,2008-02-27,2008-02-29,2008-03-03,2008-06-03,-0.1999,0.0646,-0.2645,250493,1,0000035527-08-000008
GE,GENERAL ELECTRIC CO,2008-02-29,2008-03-03,2008-03-04,2008-06-04,-0.0817,0.0611,-0.1428,3007797,1,0001231205-08-000026
MBI,MBIA INC,2008-03-05,2008-03-06,2008-03-07,2008-06-09,-0.5067,0.0634,-0.5701,86310,1,0000814585-08-000024
HUM,HUMANA INC,2008-03-14,2008-03-14,2008-03-17,2008-06-17,0.1140,0.0734,0.0406,223150,1,0000049071-08-000028
MAS,MASCO CORP /DE/,2008-03-17,2008-03-18,2008-03-19,2008-06-19,-0.1414,0.0182,-0.1596,1798352,1,0000062996-08-000028
CNP,CENTERPOINT ENERGY INC,2008-03-20,2008-03-24,2008-03-25,2008-06-25,0.1783,-0.0278,0.2061,14251,1,0001209191-08-019959
MTG,MGIC INVESTMENT CORP,2008-03-24,2008-03-26,2008-03-27,2008-06-27,-0.3475,-0.0390,-0.3085,281250,1,0000876437-08-000054
DTE,DTE ENERGY CO,2006-03-25,2008-03-27,2008-03-28,2008-06-30,0.0651,-0.0346,0.0996,200129,1,0001209191-08-020403
EP,EL PASO CORP/DE,2008-03-26,2008-03-27,2008-03-28,2008-06-30,-0.5238,-0.0346,-0.4893,790837,1,0001066107-08-000025
JBL,JABIL CIRCUIT INC,2008-03-28,2008-03-31,2008-04-01,2008-07-01,0.6981,-0.0335,0.7315,461214,1,0001225208-08-005542
PM,Philip Morris International Inc.,2008-03-28,2008-04-01,2008-04-02,2008-07-02,-0.0046,-0.0678,0.0631,4962350,1,0001182489-08-000340
CAG,CONAGRA FOODS INC /DE/,2008-03-31,2008-04-02,2008-04-03,2008-07-03,-0.1712,-0.0884,-0.0828,240000,1,0000023217-08-000008
DDS,DILLARDS INC,2008-04-11,2008-04-14,2008-04-15,2008-07-15,-0.6176,-0.0964,-0.5212,178650,1,0000028917-08-000025
COR,CORTEX PHARMACEUTICALS INC/DE/,2008-04-22,2008-04-22,2008-04-23,2008-07-23,-0.0624,-0.0592,-0.0031,15000,1,0001181431-08-026059
MBI,MBIA INC,2008-04-24,2008-04-24,2008-04-25,2008-07-25,-0.4336,-0.0928,-0.3408,529933,1,0000814585-08-000052
DOC,"HCP, INC.",2008-05-05,2008-05-06,2008-05-07,2008-08-07,-0.0369,-0.0865,0.0496,178250,1,0001041222-08-000006
BMY,BRISTOL MYERS SQUIBB CO,2008-05-07,2008-05-08,2008-05-09,2008-08-11,0.0229,-0.0605,0.0834,2282835,1,0001225208-08-008054
MRSH,"MARSH & MCLENNAN COMPANIES, INC.",2008-05-14,2008-05-15,2008-05-16,2008-08-18,0.0889,-0.0765,0.1653,1126000,1,0000062709-08-000098
PM,Philip Morris International Inc.,2008-05-13,2008-05-15,2008-05-16,2008-08-18,0.0550,-0.0765,0.1315,1312500,1,0001182489-08-000518
WFC,WELLS FARGO & CO/MN,2008-05-15,2008-05-19,2008-05-20,2008-08-20,0.0009,-0.1056,0.1065,44842,1,0001193833-08-000081
NI,NISOURCE INC/DE,2008-05-15,2008-05-27,2008-05-28,2008-08-28,-0.0521,-0.0686,0.0165,363048,1,0001111711-08-000145
GE,GENERAL ELECTRIC CO,2008-05-28,2008-05-28,2008-05-29,2008-08-29,-0.0443,-0.0540,0.0096,3519818,1,0001231205-08-000061
FHN,FIRST HORIZON NATIONAL CORP,2008-06-05,2008-06-05,2008-06-06,2008-09-08,0.3425,-0.0967,0.4392,248341,1,0000036966-08-000059
MBI,MBIA INC,2008-06-05,2008-06-05,2008-06-06,2008-09-08,2.1370,-0.0967,2.2337,939690,1,0000814585-08-000067
MAS,MASCO CORP /DE/,2008-06-11,2008-06-12,2008-06-13,2008-09-15,0.0688,-0.0416,0.1103,43250,1,0000062996-08-000062
KEY,KEYCORP /NEW/,2008-06-19,2008-06-19,2008-06-20,2008-09-22,0.4154,-0.0362,0.4516,166500,1,0001232432-08-000052
HBAN,HUNTINGTON BANCSHARES INC/MD,2008-06-25,2008-06-26,2008-06-27,2008-09-29,0.5014,-0.0297,0.5310,88350,1,0001225208-08-010746
CAG,CONAGRA FOODS INC /DE/,2008-07-03,2008-07-07,2008-07-08,2008-10-08,-0.0104,-0.1882,0.1778,201287,1,0000023217-08-000024
MTB,M&T BANK CORP,2008-07-16,2008-07-17,2008-07-18,2008-10-20,0.2050,-0.2512,0.4563,28805,1,0001209191-08-042842
PSA,Public Storage,2008-07-15,2008-07-17,2008-07-18,2008-10-20,-0.0686,-0.2512,0.1827,42155,1,0001393311-08-000134
FHN,FIRST HORIZON NATIONAL CORP,2008-07-18,2008-07-21,2008-07-22,2008-10-22,0.4986,-0.2426,0.7412,103898,1,0000036966-08-000071
MAR,MARRIOTT INTERNATIONAL INC /MD/,2008-07-18,2008-07-21,2008-07-22,2008-10-22,-0.3145,-0.2426,-0.0718,472590,1,0001225208-08-012224
EBAY,EBAY INC,2008-07-22,2008-07-23,2008-07-24,2008-10-24,-0.4351,-0.3196,-0.1156,250299,1,0001218363-08-000006
RF,REGIONS FINANCIAL CORP,2008-07-25,2008-07-28,2008-07-29,2008-10-29,0.3188,-0.2605,0.5793,482750,1,0001281761-08-000142
MA,MASTERCARD INC,2008-08-06,2008-08-06,2008-08-07,2008-11-07,-0.3648,-0.3116,-0.0532,45980,1,0001181431-08-046519
TEL,Tyco Electronics Ltd.,2008-08-05,2008-08-06,2008-08-07,2008-11-07,-0.4973,-0.3116,-0.1857,161900,1,0001225208-08-013222
PNW,PINNACLE WEST CAPITAL CORP,2008-08-07,2008-08-11,2008-08-12,2008-11-12,-0.1386,-0.3457,0.2071,335100,1,0001209191-08-046568
CINF,CINCINNATI FINANCIAL CORP,2008-08-11,2008-08-13,2008-08-14,2008-11-14,-0.0317,-0.3228,0.2911,617540,1,0000020286-08-000098
CMS,CMS ENERGY CORP,2008-08-13,2008-08-14,2008-08-15,2008-11-17,-0.2015,-0.3641,0.1626,67950,1,0001246360-08-002427
MTG,MGIC INVESTMENT CORP,2008-08-22,2008-08-22,2008-08-25,2008-11-25,-0.6541,-0.3809,-0.2732,136000,1,0000876437-08-000086
NOV,NATIONAL OILWELL VARCO INC,2008-09-16,2008-09-16,2008-09-17,2008-12-17,-0.5530,-0.2649,-0.2881,474700,1,0001337685-08-000043
PSA,Public Storage,2008-09-18,2008-09-19,2008-09-22,2008-12-22,-0.2484,-0.3037,0.0554,34904,1,0001393311-08-000183
AES,AES CORP,2008-10-06,2008-10-07,2008-10-08,2009-01-08,-0.0594,-0.0597,0.0003,475200,1,0001179110-08-017917
MBI,MBIA INC,2008-10-10,2008-10-10,2008-10-13,2009-01-13,-0.3400,-0.0139,-0.3261,205954,1,0000814585-08-000084
BBY,BEST BUY CO INC,2008-10-14,2008-10-15,2008-10-16,2009-01-16,0.1211,-0.0563,0.1774,49680,1,0001225208-08-016222
PH,PARKER HANNIFIN CORP,2008-10-17,2008-10-21,2008-10-22,2009-01-22,-0.0048,-0.0985,0.0937,250000,1,0000076334-08-000101
JPM,J P MORGAN CHASE & CO,2008-10-21,2008-10-23,2008-10-24,2009-01-26,-0.2795,-0.0406,-0.2389,10506694,1,0001225208-08-016595
MCD,MCDONALDS CORP,2008-10-23,2008-10-24,2008-10-27,2009-01-27,0.1094,-0.0025,0.1120,1100125,1,0001140361-08-023737
FAST,FASTENAL CO,2008-10-24,2008-10-27,2008-10-28,2009-01-28,0.0528,0.0477,0.0051,32000,1,0001179110-08-018527
TEX,TEREX CORP,2008-10-24,2008-10-27,2008-10-28,2009-01-28,0.1825,0.0477,0.1348,320580,1,0000097216-08-000269
TNL,TECHNITROL INC,2008-10-27,2008-10-27,2008-10-28,2009-01-28,0.3194,0.0477,0.2717,35120,1,0001307633-08-000017
LEN,LENNAR CORP /NEW/,2008-10-28,2008-10-28,2008-10-29,2009-01-29,0.3681,-0.0073,0.3754,152359,1,0001182489-08-000847
CF,"CF Industries Holdings, Inc.",2008-10-30,2008-11-03,2008-11-04,2009-02-04,-0.2467,-0.1151,-0.1317,206280,1,0001104659-08-067535
THC,TENET HEALTHCARE CORP,2008-11-05,2008-11-05,2008-11-06,2009-02-06,-0.5397,-0.0897,-0.4500,267794,1,0000070318-08-000110
CMI,CUMMINS INC,2008-11-07,2008-11-10,2008-11-11,2009-02-11,0.1649,-0.0591,0.2240,111199,1,0001225208-08-017613
GLW,CORNING INC /NY,2008-11-06,2008-11-10,2008-11-11,2009-02-11,0.1599,-0.0591,0.2190,1008000,1,0001127602-08-009069
PCAR,PACCAR INC,2008-11-07,2008-11-10,2008-11-11,2009-02-11,0.2159,-0.0591,0.2750,526800,1,0000075362-08-000128
CMS,CMS ENERGY CORP,2008-11-11,2008-11-12,2008-11-13,2009-02-13,0.1993,0.0434,0.1559,305700,1,0001246360-08-002956
VMRK,AVALONBAY COMMUNITIES INC,2008-11-10,2008-11-12,2008-11-13,2009-02-13,-0.2580,0.0434,-0.3013,99776,1,0001209191-08-060013
C,CITIGROUP INC,2008-11-13,2008-11-13,2008-11-14,2009-02-17,-0.6662,-0.0447,-0.6215,8375509,1,0001181431-08-061531
EIX,EDISON INTERNATIONAL,2008-11-10,2008-11-13,2008-11-14,2009-02-17,-0.1213,-0.0447,-0.0765,196680,1,0001127602-08-009333
GE,GENERAL ELECTRIC CO,2008-11-13,2008-11-13,2008-11-14,2009-02-17,-0.3022,-0.0447,-0.2575,821244,1,0001231205-08-000156
MBI,MBIA INC,2008-11-13,2008-11-13,2008-11-14,2009-02-17,-0.4000,-0.0447,-0.3553,550000,1,0000814585-08-000086
GAP,GREAT ATLANTIC & PACIFIC TEA CO INC,2008-11-13,2008-11-14,2008-11-17,2009-02-17,0.0034,0.0055,-0.0020,109975,1,0001206247-08-000004
AIZ,ASSURANT INC,2008-11-24,2008-11-24,2008-11-25,2009-02-25,0.3233,-0.0336,0.3569,69120,1,0001209191-08-062364
GME,GameStop Corp.,2008-11-24,2008-11-24,2008-11-25,2009-02-25,0.3173,-0.0336,0.3509,180700,1,0000950138-08-000873
PSA,Public Storage,2008-11-21,2008-11-24,2008-11-25,2009-02-25,-0.2112,-0.0336,-0.1776,220200,1,0001393311-08-000300
DTE,DTE ENERGY CO,2008-11-21,2008-11-25,2008-11-26,2009-02-26,-0.1769,-0.0610,-0.1159,49953,1,0001209191-08-062784
EXPE,"Expedia, Inc.",2008-11-21,2008-11-25,2008-11-26,2009-02-26,0.1697,-0.0610,0.2307,94800,1,0001225208-08-018528
PFG,PRINCIPAL FINANCIAL GROUP INC,2008-11-24,2008-11-25,2008-11-26,2009-02-26,-0.1584,-0.0610,-0.0975,14495,1,0001126328-08-000355
TEL,Tyco Electronics Ltd.,2008-11-26,2008-12-01,2008-12-02,2009-03-02,-0.3927,-0.0548,-0.3380,30785,1,0001225208-08-018732
MBI,MBIA INC,2008-12-30,2008-12-31,2009-01-02,2009-04-02,0.2052,-0.0744,0.2796,46240,1,0000814585-08-000092
BAC,BANK OF AMERICA CORP /DE/,2008-11-04,2009-01-21,2009-01-22,2009-04-22,0.3270,0.1006,0.2264,3188041,1,0001225208-09-001675
JPM,J P MORGAN CHASE & CO,2009-01-16,2009-01-21,2009-01-22,2009-04-22,0.4175,0.1006,0.3169,11465000,1,0001225208-09-001690
RF,REGIONS FINANCIAL CORP,2009-02-02,2009-02-02,2009-02-03,2009-05-04,0.4461,0.1885,0.2577,291000,1,0001225208-09-002414
PSA,Public Storage,2009-02-04,2009-02-05,2009-02-06,2009-05-06,0.0288,0.2019,-0.1730,57500,1,0001140361-09-002860
WU,Western Union CO,2009-02-09,2009-02-09,2009-02-10,2009-05-11,0.3794,0.1963,0.1831,191550,1,0001361989-09-000005
GNW,GENWORTH FINANCIAL INC,2009-02-23,2009-02-24,2009-02-25,2009-05-26,2.0645,0.2973,1.7672,20100,1,0001181431-09-011021
HAS,HASBRO INC,2009-02-20,2009-02-24,2009-02-25,2009-05-26,0.0042,0.2973,-0.2931,230000,1,0000046080-09-000015
LIN,PRAXAIR INC,2009-02-23,2009-02-25,2009-02-26,2009-05-26,0.1848,0.3123,-0.1275,167702,1,0000884905-09-000006
KIM,KIMCO REALTY CORP,2009-02-23,2009-02-27,2009-03-02,2009-06-02,0.5651,0.4722,0.0929,49650,1,0000940314-09-000001
GE,GENERAL ELECTRIC CO,2009-03-02,2009-03-02,2009-03-03,2009-06-03,0.7411,0.5626,0.1785,413000,1,0001231205-09-000027
C,CITIGROUP INC,2009-03-03,2009-03-04,2009-03-05,2009-06-05,2.3273,0.5265,1.8008,1860000,1,0001181431-09-013627
FAST,FASTENAL CO,2009-03-04,2009-03-04,2009-03-05,2009-06-05,0.2552,0.5265,-0.2713,56560,1,0001179110-09-004130
ADSK,AUTODESK INC,2009-03-05,2009-03-05,2009-03-06,2009-06-08,0.8070,0.6088,0.1982,304250,1,0001181431-09-014005
CINF,CINCINNATI FINANCIAL CORP,2009-03-03,2009-03-05,2009-03-06,2009-06-08,0.3249,0.6088,-0.2839,59100,1,0001127602-09-005955
SLM,SLM CORP,2009-03-06,2009-03-09,2009-03-10,2009-06-10,1.1890,0.6309,0.5581,174041,1,0001032033-09-000015
MAS,MASCO CORP /DE/,2009-03-09,2009-03-10,2009-03-11,2009-06-11,1.1768,0.4972,0.6796,185000,1,0000062996-09-000031
NI,NISOURCE INC/DE,2009-03-09,2009-03-10,2009-03-11,2009-06-11,0.2947,0.4972,-0.2024,12188,1,0001127602-09-006547
PSA,Public Storage,2009-03-09,2009-03-10,2009-03-11,2009-06-11,0.1639,0.4972,-0.3332,16878,1,0001140361-09-006573
MBI,MBIA INC,2009-03-11,2009-03-12,2009-03-13,2009-06-15,0.4325,0.4220,0.0105,138375,1,0000814585-09-000019
IP,INTERNATIONAL PAPER CO /NEW/,2009-03-13,2009-03-17,2009-03-18,2009-06-18,0.8960,0.3010,0.5950,239880,1,0001127602-09-007241
PSA,Public Storage,2009-04-15,2009-04-15,2009-04-16,2009-07-16,0.0386,0.1390,-0.1004,46800,1,0001140361-09-009674
HBAN,HUNTINGTON BANCSHARES INC/MD,2009-04-22,2009-04-23,2009-04-24,2009-07-24,0.0191,0.1819,-0.1628,1020000,1,0001225208-09-010574
BMY,BRISTOL MYERS SQUIBB CO,2009-04-30,2009-04-30,2009-05-01,2009-08-03,0.1517,0.1669,-0.0152,481250,1,0001225208-09-010987
VZ,VERIZON COMMUNICATIONS INC,2009-05-06,2009-05-07,2009-05-08,2009-08-10,0.0471,0.1659,-0.1187,510337,1,0001233402-09-000191
HAS,HASBRO INC,2009-05-15,2009-05-19,2009-05-20,2009-08-20,0.0895,0.1435,-0.0540,228700,1,0000046080-09-000038
GME,GameStop Corp.,2009-05-27,2009-05-27,2009-05-28,2009-08-28,0.0408,0.2107,-0.1699,562000,1,0000950138-09-000370
CPB,CAMPBELL SOUP CO,2009-06-08,2009-06-09,2009-06-10,2009-09-10,0.1245,0.1474,-0.0229,500331,1,0001209191-09-031373
HBAN,HUNTINGTON BANCSHARES INC/MD,2009-06-09,2009-06-10,2009-06-11,2009-09-11,0.0000,0.1657,-0.1656,1999998,1,0001225208-09-013986
AKAM,AKAMAI TECHNOLOGIES INC,2009-07-31,2009-08-04,2009-08-05,2009-11-05,0.3111,0.0593,0.2518,502500,1,0001035440-09-000013
ORCL,ORACLE CORP,2009-07-31,2009-08-04,2009-08-05,2009-11-05,-0.0274,0.0593,-0.0867,22240,1,0001127602-09-016703
C,CITIGROUP INC,2009-08-05,2009-08-06,2009-08-07,2009-11-09,0.0402,0.0876,-0.0474,3410000,1,0001181431-09-038267
MTW,MANITOWOC CO INC,2009-05-21,2009-08-10,2009-08-11,2009-11-11,0.6361,0.0956,0.5406,11486,1,0001246360-09-002473
DOV,DOVER CORP,2009-08-12,2009-08-12,2009-08-13,2009-11-13,0.2102,0.0894,0.1208,102857,1,0001333585-09-000005
BSX,BOSTON SCIENTIFIC CORP,2009-08-11,2009-08-13,2009-08-14,2009-11-16,-0.2580,0.0876,-0.3456,1106000,1,0001225208-09-017259
HOG,HARLEY DAVIDSON INC,2009-08-18,2009-08-20,2009-08-21,2009-11-23,0.2928,0.0881,0.2047,10865,1,0001225208-09-017590
KBH,KB HOME,2009-10-13,2009-10-14,2009-10-15,2010-01-15,-0.0175,0.0687,-0.0862,470550,1,0001214896-09-000012
HBAN,HUNTINGTON BANCSHARES INC/MD,2009-11-03,2009-11-03,2009-11-04,2010-02-04,0.1920,0.0794,0.1125,493871,1,0001225208-09-021405
KO,COCA COLA CO,2009-11-06,2009-11-09,2009-11-10,2010-02-10,-0.0065,0.0043,-0.0109,151648,1,0001127602-09-022068
VZ,VERIZON COMMUNICATIONS INC,2009-11-06,2009-11-09,2009-11-10,2010-02-10,-0.0310,0.0043,-0.0353,502860,1,0001233402-09-000405
CVS,CVS CAREMARK CORP,2009-11-11,2009-11-13,2009-11-16,2010-02-16,0.0883,0.0127,0.0756,509330,1,0001127602-09-022548
