ticker,issuer,trade_date,filing_date,entry_day,exit_day,ret_3m,ew_3m,excess_3m,value,n_insiders,accession
FIS,"Fidelity National Information Services, Inc.",2008-02-19,2008-02-20,2008-02-21,2008-05-21,-0.0668,0.0574,-0.1243,2080500,1,0001209191-08-011764
MDT,MEDTRONIC INC,2008-02-20,2008-02-22,2008-02-25,2008-05-27,0.0355,0.0321,0.0034,11539234,1,0000064670-08-000007
VMC,Vulcan Materials CO,2008-02-22,2008-02-26,2008-02-27,2008-05-27,0.0533,0.0074,0.0458,671500,1,0001396009-08-000053
LLY,LILLY ELI & CO,2008-02-25,2008-02-27,2008-02-28,2008-05-28,-0.0356,0.0171,-0.0527,1000001,1,0001209191-08-013743
GE,GENERAL ELECTRIC CO,2008-02-29,2008-03-03,2008-03-04,2008-06-04,-0.0817,0.0611,-0.1428,3007797,1,0001231205-08-000026
M,"Macy's, Inc.",2008-03-04,2008-03-06,2008-03-07,2008-06-09,-0.0329,0.0634,-0.0963,613505,1,0000794367-08-000029
MAS,MASCO CORP /DE/,2008-03-17,2008-03-18,2008-03-19,2008-06-19,-0.1414,0.0182,-0.1596,1798352,1,0000062996-08-000028
HD,HOME DEPOT INC,2008-03-17,2008-03-19,2008-03-20,2008-06-20,0.0106,0.0486,-0.0380,28991090,1,0001209191-08-019285
HRB,H&R BLOCK INC,2008-03-18,2008-03-20,2008-03-24,2008-06-24,0.0041,-0.0058,0.0099,47817650,1,0001225208-08-005315
EP,EL PASO CORP/DE,2008-03-26,2008-03-27,2008-03-28,2008-06-30,-0.5238,-0.0346,-0.4893,790837,1,0001066107-08-000025
PM,Philip Morris International Inc.,2008-03-28,2008-04-01,2008-04-02,2008-07-02,-0.0046,-0.0678,0.0631,6559139,1,0001182489-08-000348
GE,GENERAL ELECTRIC CO,2008-04-14,2008-04-16,2008-04-17,2008-07-17,-0.1152,-0.0957,-0.0195,1005000,1,0001231205-08-000048
WM,"WASHINGTON MUTUAL, INC",2008-04-21,2008-04-23,2008-04-24,2008-07-24,0.0411,-0.0522,0.0933,1990000000,1,0000903423-08-000381
MBI,MBIA INC,2008-04-24,2008-04-24,2008-04-25,2008-07-25,-0.4336,-0.0928,-0.3408,529933,1,0000814585-08-000052
JEF,JEFFERIES GROUP INC /DE/,2008-04-23,2008-04-25,2008-04-28,2008-07-28,-0.1686,-0.0999,-0.0687,91071036,1,0000909518-08-000381
KMB,KIMBERLY CLARK CORP,2008-04-28,2008-04-30,2008-05-01,2008-08-01,-0.0805,-0.0822,0.0017,576745,1,0001225208-08-007331
NOC,NORTHROP GRUMMAN CORP /DE/,2008-04-29,2008-05-01,2008-05-02,2008-08-04,-0.1022,-0.1056,0.0034,743700,1,0001181431-08-028134
VZ,VERIZON COMMUNICATIONS INC,2008-04-29,2008-05-01,2008-05-02,2008-08-04,-0.1253,-0.1056,-0.0198,760000,1,0001233402-08-000150
AKAM,AKAMAI TECHNOLOGIES INC,2007-06-05,2008-05-02,2008-05-05,2008-08-05,-0.3300,-0.1141,-0.2159,624931,1,0001035440-08-000010
VLO,VALERO ENERGY CORP/TX,2008-05-02,2008-05-05,2008-05-06,2008-08-06,-0.3336,-0.0808,-0.2528,505421,1,0001035002-08-000003
BMY,BRISTOL MYERS SQUIBB CO,2008-05-07,2008-05-08,2008-05-09,2008-08-11,0.0229,-0.0605,0.0834,2282835,1,0001225208-08-008054
VMC,Vulcan Materials CO,2008-05-08,2008-05-12,2008-05-13,2008-08-13,-0.0167,-0.0733,0.0566,649600,1,0001396009-08-000118
BAC,BANK OF AMERICA CORP /DE/,2008-05-13,2008-05-15,2008-05-16,2008-08-18,-0.1487,-0.0765,-0.0722,1434250,1,0001225208-08-008573
MRSH,"MARSH & MCLENNAN COMPANIES, INC.",2008-05-14,2008-05-15,2008-05-16,2008-08-18,0.0889,-0.0765,0.1653,1126000,1,0000062709-08-000098
PM,Philip Morris International Inc.,2008-05-13,2008-05-15,2008-05-16,2008-08-18,0.0550,-0.0765,0.1315,1312500,1,0001182489-08-000518
CPB,CAMPBELL SOUP CO,2008-05-22,2008-05-22,2008-05-23,2008-08-25,0.1314,-0.0676,0.1990,1008518,1,0001124908-08-000002
HD,HOME DEPOT INC,2008-05-21,2008-05-23,2008-05-27,2008-08-27,0.0129,-0.0710,0.0838,91725245,1,0001209191-08-032750
JEF,JEFFERIES GROUP INC /DE/,2008-05-22,2008-05-27,2008-05-28,2008-08-28,-0.1547,-0.0686,-0.0861,25751409,1,0000909518-08-000483
GE,GENERAL ELECTRIC CO,2008-05-28,2008-05-28,2008-05-29,2008-08-29,-0.0443,-0.0540,0.0096,3519818,1,0001231205-08-000061
MAS,MASCO CORP /DE/,2008-05-23,2008-05-28,2008-05-29,2008-08-29,0.0631,-0.0540,0.1170,5373474,1,0000062996-08-000058
CME,CME GROUP INC.,2008-06-04,2008-06-05,2008-06-06,2008-09-08,-0.1401,-0.0967,-0.0434,812104,1,0001156375-08-000106
MBI,MBIA INC,2008-06-05,2008-06-05,2008-06-06,2008-09-08,2.1370,-0.0967,2.2337,939690,1,0000814585-08-000067
WFC,WELLS FARGO & CO/MN,2008-06-06,2008-06-06,2008-06-09,2008-09-09,0.2998,-0.0466,0.3464,1052368,1,0001193833-08-000084
ZION,ZIONS BANCORPORATION /UT/,2008-07-02,2008-07-07,2008-07-08,2008-10-08,0.2909,-0.1882,0.4790,3000000,1,0000109380-08-000109
USB,US BANCORP \DE\,2008-07-16,2008-07-17,2008-07-18,2008-10-20,0.1487,-0.2512,0.3999,1761000,1,0000036104-08-000100
YUM,YUM BRANDS INC,2008-07-18,2008-07-18,2008-07-21,2008-10-21,-0.1819,-0.2185,0.0366,1773000,1,0001041061-08-000192
MSFT,MICROSOFT CORP,2008-07-22,2008-07-22,2008-07-23,2008-10-23,-0.1633,-0.3067,0.1434,1969260,1,0001193099-08-000052
TFC,BB&T CORP,2008-07-28,2008-07-30,2008-07-31,2008-10-31,0.2241,-0.2712,0.4954,983460,1,0001225208-08-012625
PH,PARKER HANNIFIN CORP,2008-08-01,2008-08-05,2008-08-06,2008-11-06,-0.3915,-0.2689,-0.1226,619519,1,0000076334-08-000049
BA,BOEING CO,2008-08-04,2008-08-06,2008-08-07,2008-11-07,-0.2787,-0.3116,0.0329,620600,1,0001225208-08-013197
FCX,FREEPORT MCMORAN COPPER & GOLD INC,2008-08-05,2008-08-06,2008-08-07,2008-11-07,-0.6885,-0.3116,-0.3769,2317793,1,0001246360-08-002369
NOC,NORTHROP GRUMMAN CORP /DE/,2008-08-05,2008-08-06,2008-08-07,2008-11-07,-0.3444,-0.3116,-0.0328,666900,1,0001181431-08-046478
AFL,AFLAC INC,2008-08-08,2008-08-08,2008-08-11,2008-11-11,-0.1756,-0.3171,0.1415,553500,1,0000004977-08-000049
AIG,AMERICAN INTERNATIONAL GROUP INC,2008-08-12,2008-08-12,2008-08-13,2008-11-13,-0.9064,-0.3747,-0.5317,726897,1,0001225208-08-013464
GAP,GREAT ATLANTIC & PACIFIC TEA CO INC,2008-08-08,2008-08-12,2008-08-13,2008-11-13,-0.4220,-0.3747,-0.0473,2234457,1,0001140361-08-019097
CINF,CINCINNATI FINANCIAL CORP,2008-08-11,2008-08-13,2008-08-14,2008-11-14,-0.0317,-0.3228,0.2911,617540,1,0000020286-08-000098
WMB,WILLIAMS COMPANIES INC,2008-08-25,2008-08-27,2008-08-28,2008-11-28,-0.4813,-0.3355,-0.1458,502150,1,0001209191-08-049362
HPQ,HEWLETT PACKARD CO,2008-08-28,2008-09-02,2008-09-03,2008-12-03,-0.2722,-0.3767,0.1045,944744,1,0000047217-08-000144
MBI,MBIA INC,2008-09-02,2008-09-03,2008-09-04,2008-12-04,-0.6108,-0.3565,-0.2543,652257,1,0000814585-08-000076
DVN,DEVON ENERGY CORP/DE,2008-10-10,2008-10-14,2008-10-15,2009-01-15,-0.1626,-0.1499,-0.0127,726960,1,0001241083-08-000098
GAP,GREAT ATLANTIC & PACIFIC TEA CO INC,2008-10-15,2008-10-17,2008-10-20,2009-01-20,-0.1110,-0.0734,-0.0376,604000,1,0001140361-08-023430
JPM,J P MORGAN CHASE & CO,2008-10-16,2008-10-20,2008-10-21,2009-01-21,-0.5109,-0.1727,-0.3382,692400,1,0001225208-08-016408
CSX,CSX CORP,2008-10-17,2008-10-21,2008-10-22,2009-01-22,-0.3519,-0.0985,-0.2533,986898,1,0001104659-08-065054
CME,CME GROUP INC.,2008-10-23,2008-10-24,2008-10-27,2009-01-27,-0.3187,-0.0025,-0.3162,999960,1,0001156375-08-000161
MCD,MCDONALDS CORP,2008-10-23,2008-10-24,2008-10-27,2009-01-27,0.1094,-0.0025,0.1120,1100125,1,0001140361-08-023737
BBY,BEST BUY CO INC,2008-10-23,2008-10-27,2008-10-28,2009-01-28,0.3121,0.0477,0.2644,25881745,1,0001225208-08-016795
HRB,H&R BLOCK INC,2008-10-27,2008-10-28,2008-10-29,2009-01-29,0.1679,-0.0073,0.1752,50000002,1,0001225208-08-016821
NBR,NABORS INDUSTRIES LTD,2008-10-30,2008-10-31,2008-11-03,2009-02-03,-0.2623,-0.1274,-0.1349,551500,1,0001163739-08-000073
CF,"CF Industries Holdings, Inc.",2008-10-30,2008-11-03,2008-11-04,2009-02-04,-0.2467,-0.1151,-0.1317,580700,1,0001104659-08-067462
CINF,CINCINNATI FINANCIAL CORP,2008-10-31,2008-11-04,2008-11-05,2009-02-05,-0.1997,-0.1581,-0.0417,1292000,1,0001127602-08-008693
PCAR,PACCAR INC,2008-10-31,2008-11-04,2008-11-05,2009-02-05,-0.1274,-0.1581,0.0307,1442500,1,0000075362-08-000126
AMGN,AMGEN INC,2008-11-04,2008-11-05,2008-11-06,2009-02-06,-0.0337,-0.0897,0.0561,500032,1,0001181431-08-059803
GLW,CORNING INC /NY,2008-11-05,2008-11-07,2008-11-10,2009-02-10,0.0745,-0.0255,0.1000,1086200,1,0001208669-08-000005
TEL,Tyco Electronics Ltd.,2008-11-12,2008-11-12,2008-11-13,2009-02-13,0.0566,0.0434,0.0132,978688,1,0001225208-08-017832
C,CITIGROUP INC,2008-11-13,2008-11-13,2008-11-14,2009-02-17,-0.6662,-0.0447,-0.6215,8375509,1,0001181431-08-061531
GE,GENERAL ELECTRIC CO,2008-11-13,2008-11-13,2008-11-14,2009-02-17,-0.3022,-0.0447,-0.2575,821244,1,0001231205-08-000156
J,JACOBS ENGINEERING GROUP INC /DE/,2008-11-13,2008-11-13,2008-11-14,2009-02-17,0.2104,-0.0447,0.2551,579700,1,0000052988-08-000216
MBI,MBIA INC,2008-11-13,2008-11-13,2008-11-14,2009-02-17,-0.4000,-0.0447,-0.3553,550000,1,0000814585-08-000086
GD,GENERAL DYNAMICS CORP,2008-11-13,2008-11-17,2008-11-18,2009-02-18,-0.0041,-0.0162,0.0121,752640,1,0001209191-08-060902
TFC,BB&T CORP,2008-11-17,2008-11-19,2008-11-20,2009-02-20,-0.4092,0.0362,-0.4454,1000350,1,0001225208-08-018136
HST,"HOST HOTELS & RESORTS, INC.",2008-11-20,2008-11-21,2008-11-24,2009-02-24,-0.3997,0.0004,-0.4001,500000,1,0001070750-08-000143
LNC,LINCOLN NATIONAL CORP,2008-11-20,2008-11-24,2008-11-25,2009-02-25,0.7679,-0.0336,0.8015,1186808,1,0000059558-08-000107
